mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,hari_8,hari_9,hari_10,hari_11,hari_12,hari_13,hari_14,target_hari_15
univariate,test,Daging Ayam,14,0,0.8406779661016948,0.8406779661016948,0.8406779661016948,0.8271186440677967,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,1,0.8406779661016948,0.8406779661016948,0.8271186440677967,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,2,0.8406779661016948,0.8271186440677967,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,3,0.8271186440677967,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,4,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,5,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,6,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,7,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,8,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,9,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,10,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491
univariate,test,Daging Ayam,14,11,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8271186440677967
univariate,test,Daging Ayam,14,12,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8271186440677967,0.8271186440677967
univariate,test,Daging Ayam,14,13,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8271186440677967,0.8271186440677967,0.8440677966101695
univariate,test,Daging Ayam,14,14,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8271186440677967,0.8271186440677967,0.8440677966101695,0.8440677966101695
univariate,test,Daging Ayam,14,15,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8271186440677967,0.8271186440677967,0.8440677966101695,0.8440677966101695,0.8440677966101695
univariate,test,Daging Ayam,14,16,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8271186440677967,0.8271186440677967,0.8440677966101695,0.8440677966101695,0.8440677966101695,0.8440677966101695
univariate,test,Daging Ayam,14,17,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8067796610169491,0.8271186440677967,0.8271186440677967,0.8440677966101695,0.8440677966101695,0.8440677966101695,0.8440677966101695,0.8440677966101695
